Date,Burglary/Breaking and Entering,observed,residual,seasonal,trend
2012-05-31,22.193548387096776,22.193548387096776,,-0.677438013963929,
2012-06-30,19.933333333333334,19.933333333333334,,0.23384110789987092,
2012-07-31,19.129032258064516,19.129032258064516,,0.9011798175772899,
2012-08-31,20.322580645161292,20.322580645161292,,1.5072594066709935,
2012-09-30,18.133333333333333,18.133333333333333,,1.3556105011410395,
2012-10-31,21.129032258064516,21.129032258064516,,1.7446786014994624,
2012-11-30,21.233333333333334,21.233333333333334,0.4906938361296511,2.031656394285097,18.710983102918586
2012-12-31,17.612903225806452,17.612903225806452,-1.1404441567018937,0.25508829392667287,18.498259088581673
2013-01-31,20.387096774193548,20.387096774193548,1.8359984956278566,0.1190578279768517,18.43204045058884
2013-02-28,14.428571428571429,14.428571428571429,-0.3097957731363765,-3.583458195117591,18.321825396825396
2013-03-31,14.548387096774194,14.548387096774194,-1.1713043717556522,-2.42063751252494,18.140328981054786
2013-04-30,17.4,17.4,0.9174142662371769,-1.4668382293708182,17.94942396313364
2013-05-31,18.35483870967742,18.35483870967742,1.3362577784288554,-0.677438013963929,17.696018945212494
2013-06-30,18.666666666666668,18.666666666666668,0.9781148572819015,0.23384110789987092,17.454710701484895
2013-07-31,18.806451612903224,18.806451612903224,0.7704535669593188,0.9011798175772899,17.134818228366616
2013-08-31,18.0,18.0,-0.30615213580565404,1.5072594066709935,16.79889272913466
2013-09-30,16.1,16.1,-1.9242228923340747,1.3556105011410395,16.668612391193037
2013-10-31,18.580645161290324,18.580645161290324,0.32501545892040773,1.7446786014994624,16.510951100870454
2013-11-30,17.7,17.7,-0.5008064198867359,2.031656394285097,16.16915002560164
2013-12-31,15.35483870967742,15.35483870967742,-0.6900985345820744,0.25508829392667287,15.789848950332821
2014-01-31,14.96774193548387,14.96774193548387,-0.6142831223956962,0.1190578279768517,15.462967229902715
2014-02-28,11.785714285714286,11.785714285714286,0.07690417566034657,-3.583458195117591,15.29226830517153
2014-03-31,14.064516129032258,14.064516129032258,1.1380914295756321,-2.42063751252494,15.347062211981566
2014-04-30,14.1,14.1,0.166326196600721,-1.4668382293708182,15.400512032770097
2014-05-31,13.451612903225806,13.451612903225806,-1.2137998252577802,-0.677438013963929,15.342850742447515
2014-06-30,14.466666666666667,14.466666666666667,-1.1289767965839477,0.23384110789987092,15.361802355350743
2014-07-31,15.161290322580646,15.161290322580646,-1.1648638933581394,0.9011798175772899,15.424974398361496
2014-08-31,17.548387096774192,17.548387096774192,0.6793733378246534,1.5072594066709935,15.361754352278545
2014-09-30,17.866666666666667,17.866666666666667,1.3684358378246528,1.3556105011410395,15.142620327700975
2014-10-31,18.096774193548388,18.096774193548388,1.4350577016239396,1.7446786014994624,14.917037890424986
2014-11-30,16.8,16.8,-0.05487708040900685,2.031656394285097,14.82322068612391
2014-12-31,16.70967741935484,16.70967741935484,1.6849078658275536,0.25508829392667287,14.769681259600613
2015-01-31,15.129032258064516,15.129032258064516,0.36506915615013424,0.1190578279768517,14.64490527393753
2015-02-28,10.107142857142858,10.107142857142858,-0.7552898847595175,-3.583458195117591,14.445890937019966
2015-03-31,10.483870967741936,10.483870967741936,-1.2643663277208335,-2.42063751252494,14.16887480798771
2015-04-30,12.266666666666667,12.266666666666667,-0.10772654277459659,-1.4668382293708182,13.841231438812082
2015-05-30,13.033333333333333,13.033333333333333,0.08607216654969452,-0.677438013963929,13.624699180747568
2015-06-30,13.6,13.6,-0.060914840618763094,0.23384110789987092,13.427073732718892
2015-07-30,13.033333333333333,13.033333333333333,-0.9946962026259293,0.9011798175772899,13.126849718381973
2015-08-30,14.9,14.9,0.47879663884695645,1.5072594066709935,12.91394395448205
2015-09-30,13.866666666666667,13.866666666666667,-0.3965232436944899,1.3556105011410395,12.907579409220117
2015-10-30,14.233333333333333,14.233333333333333,-0.44370066304933276,1.7446786014994624,12.932355394883203
2015-11-30,15.466666666666667,15.466666666666667,0.5505043398639593,2.031656394285097,12.88450593251761
2015-12-30,13.3,13.3,0.17631079147686457,0.25508829392667287,12.868600914596463
2016-01-30,11.333333333333334,11.333333333333334,-1.7768612515338877,0.1190578279768517,12.99113675689037
2016-02-29,8.793103448275861,8.793103448275861,-0.7060625686940503,-3.583458195117591,13.082624212087502
2016-03-31,11.64516129032258,11.64516129032258,0.9128340889679007,-2.42063751252494,13.15296471387962
2016-04-30,11.7,11.7,-0.07618024794966005,-1.4668382293708182,13.243018477320478
2016-05-31,12.451612903225806,12.451612903225806,-0.10263243468271643,-0.677438013963929,13.231683351872451
2016-06-30,13.8,13.8,0.3176744649588622,0.23384110789987092,13.248484427141268
2016-07-31,15.774193548387096,15.774193548387096,1.4950042140628033,0.9011798175772899,13.378009516747003
2016-08-31,14.35483870967742,14.35483870967742,-0.7461201558279031,1.5072594066709935,13.59369945883433
2016-09-30,16.1,16.1,1.0582079832419644,1.3556105011410395,13.686181515616997
2016-10-31,14.161290322580646,14.161290322580646,-1.210474812456962,1.7446786014994624,13.627086533538145
2016-11-30,15.266666666666667,15.266666666666667,-0.3531425694003012,2.031656394285097,13.588152841781872
2016-12-31,13.903225806451612,13.903225806451612,0.10169614027711582,0.25508829392667287,13.546441372247823
2017-01-31,13.838709677419354,13.838709677419354,0.3224488284491591,0.1190578279768517,13.397203020993343
2017-02-28,11.464285714285714,11.464285714285714,1.8266161572271669,-3.583458195117591,13.221127752176137
2017-03-31,11.193548387096774,11.193548387096774,0.5171172872305201,-2.42063751252494,13.097068612391194
